
CCTV-1,rtp://239.3.1.129:8008
CCTV-2,rtp://239.3.1.60:8084
CCTV-3,rtp://239.3.1.172:8001
CCTV-4,rtp://239.3.1.105:8092
CCTV-5,rtp://239.3.1.173:8001
CCTV-6,rtp://239.3.1.174:8001
CCTV-7,rtp://239.3.1.61:8104
CCTV-8,rtp://239.3.1.175:8001
CCTV-9,rtp://239.3.1.62:8112
CCTV-10,rtp://239.3.1.63:8116
CCTV-11,rtp://239.3.1.152:8120
CCTV-12,rtp://239.3.1.64:8124
CCTV-13,rtp://239.3.1.124:8128
CCTV-14,rtp://239.3.1.65:8132
CCTV-15,rtp://239.3.1.153:8136
CCTV-16,rtp://239.3.1.183:8001
北京卫视,rtp://239.3.1.241:8000
湖南卫视,rtp://239.3.1.132:8012
东方卫视,rtp://239.3.1.136:8032
浙江卫视,rtp://239.3.1.137:8036
江苏卫视,rtp://239.3.1.135:8028
深圳卫视,rtp://239.3.1.134:8020
广东卫视,rtp://239.3.1.142:8048
安徽卫视,rtp://239.3.1.211:8064
天津卫视,rtp://239.3.1.141:1234
重庆卫视,rtp://239.3.1.122:8160
山东卫视,rtp://239.3.1.209:8052
河北卫视,rtp://239.3.1.148:8072
湖北卫视,rtp://239.3.1.138:8044
江西卫视,rtp://239.3.1.123:8164
云南卫视,rtp://239.3.1.26:8108
兵团卫视,rtp://239.3.1.144:4120
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8$江苏苏州地方
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8$江苏苏州地方
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8$江苏苏州地方
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8$江苏苏州地方
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8$江苏苏州地方


