CCTV1,rtp://239.254.200.45:8008$河北cmc
CCTV2,rtp://239.254.200.158:6000$河北cmc
CCTV3,rtp://239.254.201.152:7205$河北cmc
CCTV4,rtp://239.254.200.190:6307$河北cmc
CCTV5,rtp://239.254.201.153:7206$河北cmc
CCTV6,rtp://239.254.201.154:7207$河北cmc
CCTV7,rtp://239.254.200.159:6000$河北cmc
CCTV8,rtp://239.254.201.155:7208$河北cmc
CCTV9,rtp://239.254.200.59:8112$河北cmc
CCTV10,rtp://239.254.200.160:6000$河北cmc
CCTV11,rtp://239.254.201.123:8120$河北cmc
CCTV12,rtp://239.254.200.161:6000$河北cmc
CCTV13,rtp://239.254.200.9:8264$河北cmc
CCTV14,rtp://239.254.200.162:6000$河北cmc
CCTV15,rtp://239.254.201.124:8136$河北cmc
WA安徽卫视,rtp://239.254.200.163:6000$河北cmc
WB北京卫视,rtp://239.254.200.47:8024$河北cmc
WD东方卫视,rtp://239.254.200.52:8032$河北cmc
WD东南卫视,rtp://239.254.201.13:6291$河北cmc
WG广东卫视,rtp://239.254.200.56:8048$河北cmc
WG广西卫视,rtp://239.254.200.80:8300$河北cmc
WG贵州卫视,rtp://239.254.201.20:6315$河北cmc
WH海南卫视,rtp://239.254.201.125:6288$河北cmc
WH河北卫视,rtp://239.254.200.174:6000$河北cmc
WH河南卫视,rtp://239.254.201.16:7174$河北cmc
WH湖北卫视,rtp://239.254.200.164:6000$河北cmc
WH湖南卫视,rtp://239.254.200.48:8012$河北cmc
WJ江苏卫视,rtp://239.254.200.51:8028$河北cmc
WJ江西卫视,rtp://239.254.201.12:6290$河北cmc
WS山东卫视,rtp://239.254.200.55:8052$河北cmc
WS深圳卫视,rtp://239.254.200.50:8020$河北cmc
WS四川卫视,rtp://239.254.200.202:6325$河北cmc
WT天津卫视,rtp://239.254.200.54:1234$河北cmc
WZ浙江卫视,rtp://239.254.200.53:8036$河北cmc
WC重庆卫视,rtp://239.254.200.203:6323$河北cmc
