CCTV1,rtp://233.50.201.118:5140$浙江电信
CCTV2,rtp://233.50.201.119:5140$浙江电信
CCTV3,rtp://233.50.201.196:5140$浙江电信
CCTV4,rtp://233.50.200.101:5140$浙江电信
CCTV5,rtp://233.50.201.197:5140$浙江电信
CCTV6,rtp://233.50.201.198:5140$浙江电信
CCTV7,rtp://233.50.201.120:5140$浙江电信
CCTV8,rtp://233.50.201.199:5140$浙江电信
CCTV9,rtp://233.50.201.121:5140$浙江电信
CCTV10,rtp://233.50.201.122:5140$浙江电信
CCTV11,rtp://233.50.200.132:5140$浙江电信
CCTV12,rtp://233.50.201.123:5140$浙江电信
CCTV13,rtp://233.50.201.246:5140$浙江电信
CCTV14,rtp://233.50.201.124:5140$浙江电信
CCTV15,rtp://233.50.200.133:5140$浙江电信
浙江卫视,rtp://233.50.200.231:5140$浙江电信
北京卫视,rtp://233.50.201.107:5140$浙江电信
云南卫视,rtp://233.50.200.115:5140$浙江电信
四川卫视,rtp://233.50.201.139:5140$浙江电信
江西卫视,rtp://233.50.201.145:5140$浙江电信
江苏卫视,rtp://233.50.201.106:5140$浙江电信
东方卫视,rtp://233.50.201.125:5140$浙江电信
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8$新增
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8$江苏苏州地方
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8$江苏苏州地方
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8$江苏苏州地方
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8$江苏苏州地方
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8$江苏苏州地方


