CCTV1,rtp://238.1.78.166:7200$安徽电信
CCTV2,rtp://238.1.78.235:7752$安徽电信
CCTV3,rtp://238.1.78.170:7232$安徽电信
CCTV4,rtp://238.1.78.236:7760$安徽电信
CCTV5,rtp://238.1.78.171:7240$安徽电信
CCTV6,rtp://238.1.78.172:7248$安徽电信
CCTV7,rtp://238.1.78.239:7784$安徽电信
CCTV8,rtp://238.1.78.173:7256$安徽电信
CCTV9,rtp://238.1.78.240:7792$安徽电信
CCTV10,rtp://238.1.78.241:7800$安徽电信
CCTV11,rtp://238.1.78.206:7502$安徽电信
CCTV12,rtp://238.1.78.242:7808$安徽电信
CCTV13,rtp://238.1.79.35:4392$安徽电信
CCTV14,rtp://238.1.78.243:7816$安徽电信
CCTV15,rtp://238.1.78.222:7648$安徽电信
安徽卫视,rtp://238.1.78.150:7072$安徽电信
北京卫视,rtp://238.1.78.162:7168$安徽电信
东方卫视,rtp://238.1.78.163:7176$安徽电信
江苏卫视,rtp://238.1.78.165:7192$安徽电信
浙江卫视,rtp://238.1.78.164:7184$安徽电信
辽宁卫视,rtp://238.1.78.21:6096$安徽电信
四川卫视,rtp://238.1.78.30:6168$安徽电信
兵团卫视,rtp://238.1.78.104:6704$安徽电信


