
CCTV1,rtp://239.3.1.129:8008
CCTV2,rtp://239.3.1.60:8084
CCTV3,rtp://239.3.1.172:8001
CCTV4,rtp://239.3.1.105:8092
CCTV5,rtp://239.3.1.173:8001
CCTV6,rtp://239.3.1.174:8001
CCTV7,rtp://239.3.1.61:8104
CCTV8,rtp://239.3.1.175:8001
CCTV9,rtp://239.3.1.62:8112
CCTV10,rtp://239.3.1.63:8116
CCTV11,rtp://239.3.1.152:8120
CCTV12,rtp://239.3.1.64:8124
CCTV13,rtp://239.3.1.124:8128
CCTV14,rtp://239.3.1.65:8132
CCTV15,rtp://239.3.1.153:8136
北京卫视,rtp://239.3.1.241:8000
湖南卫视,rtp://239.3.1.132:8012
东方卫视,rtp://239.3.1.136:8032
浙江卫视,rtp://239.3.1.137:8036
江苏卫视,rtp://239.3.1.135:8028
深圳卫视,rtp://239.3.1.134:8020
广东卫视,rtp://239.3.1.142:8048
安徽卫视,rtp://239.3.1.211:8064
天津卫视,rtp://239.3.1.141:1234
重庆卫视,rtp://239.3.1.122:8160
山东卫视,rtp://239.3.1.209:8052
江西卫视,rtp://239.3.1.123:8164
云南卫视,rtp://239.3.1.26:8108
兵团卫视,rtp://239.3.1.144:4120

